id,name_ko,name_en,category
kweichow-moutai,마오타이,Kweichow Moutai,주류
biore,비오레,Bioré,스킨케어
hanmi,한미약품,Hanmi Pharmaceutical,제약
lyft,리프트,Lyft,모빌리티서비스
comcast,컴캐스트,Comcast,통신사
kodansha,고단샤,Kodansha,출판
korea-post,우체국,Korea Post,택배·특송
mistral-ai,미스트랄 AI,Mistral AI,AI
charles-schwab,찰스슈왑,Charles Schwab,증권·투자
jaguar-land-rover,재규어랜드로버,Jaguar Land Rover,완성차
kumho-tire,금호타이어,Kumho Tire,타이어
dodge,닷지,Dodge,완성차
gu,지유,GU,SPA·캐주얼
yanolja,야놀자,Yanolja,여행플랫폼
sony-pictures,소니 픽처스,Sony Pictures Entertainment,영화·애니메이션
diptyque,딥티크,Diptyque,향수·니치향수
zwilling,즈윌링,Zwilling J.A. Henckels,주방·생활용품
ecco,에코,ECCO,신발
hancom,한글과컴퓨터,Hancom,소프트웨어·클라우드
shangri-la,샹그릴라,Shangri-La Hotels and Resorts,호텔·리조트
pxg,PXG,PXG,골프
quaker,퀘이커,Quaker Oats,라면·가공식품
j-lindeberg,제이린드버그,J.Lindeberg,골프
triumph,트라이엄프,Triumph Motorcycles,이륜차
kenzo,겐조,Kenzo,디자이너·스트리트
skechers,스케쳐스,Skechers,신발
mihoyo,미호요,miHoYo,게임사
ferrari,페라리,Ferrari,럭셔리·슈퍼카
bentley,벤틀리,Bentley Motors,럭셔리·슈퍼카
asahi,아사히,Asahi,주류
starbucks,스타벅스,Starbucks,카페체인
sanrio,산리오,Sanrio,완구·캐릭터
new-balance,뉴발란스,New Balance,스포츠웨어
chanel,샤넬,Chanel,럭셔리하우스
sm-entertainment,SM엔터테인먼트,SM Entertainment,엔터테인먼트·음반
jaeger-lecoultre,예거 르쿨트르,Jaeger-LeCoultre,하이엔드시계
fila,휠라,FILA,스포츠웨어
zeekr,지커,Zeekr,전기차
t-mobile,T모바일,T-Mobile US,통신사
guinness,기네스,Guinness,주류
wooyoungmi,우영미,Wooyoungmi,디자이너·스트리트
ohouse,오늘의집,Ohouse,가구·생활유통
calbee,가루비,Calbee,과자·제과
hm,H&M,H&M,SPA·캐주얼
krafton,크래프톤,KRAFTON,게임사
yg-entertainment,YG엔터테인먼트,YG Entertainment,엔터테인먼트·음반
air-premia,에어프레미아,Air Premia,항공사
fiji-water,피지워터,Fiji Water,음료·탄산
fossil,파슬,Fossil,대중시계
bhc,bhc치킨,bhc Chicken,배달·프랜차이즈
imax,아이맥스,IMAX,영화·애니메이션
kakaobank,카카오뱅크,KakaoBank,은행
six-flags,식스 플래그,Six Flags,크루즈·테마파크
moderna,모더나,Moderna,바이오
galderma,갈더마,Galderma,제약
babolat,바볼랏,Babolat,스포츠용품
tsingtao,칭따오,Tsingtao,주류
robinhood,로빈후드,Robinhood,증권·투자
jbl,JBL,JBL,음향·카메라
muuto,무토,Muuto,가구·인테리어
chagee,차지,Chagee,카페체인
sony-music,소니뮤직,Sony Music Entertainment,엔터테인먼트·음반
ace-bed,에이스침대,Ace Bed,가구·인테리어
balmuda,발뮤다,BALMUDA,스마트폰·가전
oakley,오클리,Oakley,안경·아이웨어
steelseries,스틸시리즈,SteelSeries,PC·주변기기
charles-keith,찰스앤키스,Charles & Keith,가방·잡화
aldi,알디,Aldi,대형마트·창고형
chery,체리자동차,Chery,완성차
massimo-dutti,마시모두띠,Massimo Dutti,SPA·캐주얼
specialized,스페셜라이즈드,Specialized,스포츠용품
lacoste,라코스테,Lacoste,컨템포러리
keyang,계양전기,Keyang Electric Machinery,공구
dove,도브,Dove,헤어·바디
kb-kookmin-bank,KB국민은행,KB Kookmin Bank,은행
netease,넷이즈,NetEase,게임사
riot-games,라이엇 게임즈,Riot Games,게임사
nubank,누뱅크,Nubank,은행
ugg,어그,UGG,신발
