id,name_ko,name_en,category
eva-air,에바항공,EVA Air,항공사
loro-piana,로로피아나,Loro Piana,럭셔리하우스
max-mara,막스마라,Max Mara,컨템포러리
sensodyne,센소다인,Sensodyne,일반의약품·소비자헬스
warner-bros,워너브라더스,Warner Bros.,영화·애니메이션
musinsa-standard,무신사 스탠다드,Musinsa Standard,SPA·캐주얼
laneige,라네즈,Laneige,스킨케어
rosewood,로즈우드,Rosewood Hotels & Resorts,호텔·리조트
caribbean-bay,캐리비안 베이,Caribbean Bay,크루즈·테마파크
louis-vuitton,루이비통,Louis Vuitton,럭셔리하우스
boehringer-ingelheim,베링거인겔하임,Boehringer Ingelheim,제약
blue-bottle,블루보틀,Blue Bottle Coffee,카페체인
hoka,호카,HOKA,스포츠웨어
thom-browne,톰 브라운,Thom Browne,디자이너·스트리트
breguet,브레게,Breguet,하이엔드시계
lf,LF,LF Corp.,컨템포러리
haleon,헤일리온,Haleon,일반의약품·소비자헬스
bank-of-america,뱅크오브아메리카,Bank of America,은행
decathlon,데카트론,Decathlon,스포츠용품
universal-music-group,유니버설뮤직,Universal Music Group,엔터테인먼트·음반
kakao-friends,카카오프렌즈,Kakao Friends,완구·캐릭터
minumsa,민음사,Minumsa,출판
ozempic,오젬픽,Ozempic,제약
cu,CU,CU,편의점
round-lab,라운드랩,Round Lab,스킨케어
xexymix,젝시믹스,Xexymix,스포츠웨어
diesel,디젤,Diesel,컨템포러리
tous-les-jours,뚜레쥬르,Tous les Jours,베이커리·디저트
lvmh,LVMH,LVMH Moët Hennessy Louis Vuitton,럭셔리하우스
hello-kitty,헬로키티,Hello Kitty,완구·캐릭터
asus,에이수스,ASUS,PC·주변기기
biontech,바이오엔텍,BioNTech,바이오
cathay-pacific,캐세이퍼시픽,Cathay Pacific,항공사
hanwha-qcells,한화큐셀,Hanwha Qcells,전력·신재생
budweiser,버드와이저,Budweiser,주류
herbalife,허벌라이프,Herbalife,건강식품
neutrogena,뉴트로지나,Neutrogena,스킨케어
soop,SOOP,SOOP,콘텐츠스트리밍
sk-energy,SK에너지,SK Energy,석유·가스
kappa,카파,Kappa,스포츠웨어
bottega-veneta,보테가 베네타,Bottega Veneta,럭셔리하우스
fanta,환타,Fanta,음료·탄산
xiaomi,샤오미,Xiaomi,스마트폰·가전
suntory,산토리,Suntory Holdings,주류
lucid,루시드,Lucid Motors,전기차
yamato-transport,야마토운수,Yamato Transport,택배·특송
hugo-boss,휴고 보스,Hugo Boss,컨템포러리
ebay,이베이,eBay,이커머스
softbank-corp,소프트뱅크(통신),SoftBank Corp.,통신사
skyscanner,스카이스캐너,Skyscanner,여행플랫폼
la-roche-posay,라로슈포제,La Roche-Posay,스킨케어
holiday-inn,홀리데이 인,Holiday Inn,호텔·리조트
msi,MSI,Micro-Star International,PC·주변기기
coca-cola,코카콜라,Coca-Cola,음료·탄산
youtube,유튜브,YouTube,콘텐츠스트리밍
yuhan,유한양행,Yuhan,제약
8seconds,에잇세컨즈,8seconds,SPA·캐주얼
nh-nonghyup-bank,NH농협은행,NongHyup Bank,은행
hetbahn,햇반,Hetbahn,라면·가공식품
goobne,굽네치킨,Goobne Chicken,배달·프랜차이즈
ping-an,핑안보험,Ping An Insurance,보험
legoland,레고랜드,Legoland,크루즈·테마파크
cetaphil,세타필,Cetaphil,스킨케어
yokohama-tire,요코하마타이어,Yokohama Rubber,타이어
peugeot,푸조,Peugeot,완성차
band-aid,밴드에이드,Band-Aid,일반의약품·소비자헬스
ybtour,노랑풍선,Yellow Balloon Tour,여행플랫폼
lotte-hotel,롯데호텔,Lotte Hotels & Resorts,호텔·리조트
calvin-klein,캘빈클라인,Calvin Klein,컨템포러리
british-airways,영국항공,British Airways,항공사
turkish-airlines,터키항공,Turkish Airlines,항공사
keychron,키크론,Keychron,PC·주변기기
fred,프레드,Fred,주얼리
tupperware,타파웨어,Tupperware,주방·생활용품
dunkin,던킨,Dunkin',베이커리·디저트
sacai,사카이,Sacai,디자이너·스트리트
whole-foods,홀푸드마켓,Whole Foods Market,대형마트·창고형
pomellato,포멜라토,Pomellato,주얼리
rivian,리비안,Rivian,전기차
kuho,구호,KUHO,컨템포러리
sbs,SBS,Seoul Broadcasting System,방송·신문
asiana-airlines,아시아나항공,Asiana Airlines,항공사
ryobi,료비,Ryobi,공구
chick-fil-a,칙필레,Chick-fil-A,패스트푸드
hilton,힐튼,Hilton,호텔·리조트
telegram,텔레그램,Telegram,SNS·메신저
rado,라도,Rado,대중시계
four-seasons,포시즌스,Four Seasons Hotels and Resorts,호텔·리조트
eastar-jet,이스타항공,Eastar Jet,항공사
chum-churum,처음처럼,Chum Churum,주류
titleist,타이틀리스트,Titleist,골프
jyp-entertainment,JYP엔터테인먼트,JYP Entertainment,엔터테인먼트·음반
mac-cosmetics,맥,MAC Cosmetics,메이크업
tving,티빙,TVING,콘텐츠스트리밍
park-hyatt,파크 하얏트,Park Hyatt,호텔·리조트
balmain,발망,Balmain,럭셔리하우스
corona,코로나,Corona,주류
amazon,아마존,Amazon,이커머스
warby-parker,와비 파커,Warby Parker,안경·아이웨어
johnson-johnson,존슨앤드존슨,Johnson & Johnson,제약
linkedin,링크드인,LinkedIn,SNS·메신저
fear-of-god,피어 오브 갓,Fear of God,디자이너·스트리트
tommy-hilfiger,타미힐피거,Tommy Hilfiger,컨템포러리
hd-hyundai-oilbank,HD현대오일뱅크,HD Hyundai Oilbank,석유·가스
birkenstock,버켄스탁,Birkenstock,신발
kakao-page,카카오페이지,KakaoPage,콘텐츠스트리밍
alibaba,알리바바,Alibaba Group,이커머스
tag-heuer,태그호이어,TAG Heuer,하이엔드시계
jal,일본항공,Japan Airlines,항공사
ikea,이케아,IKEA,가구·인테리어
wells-fargo,웰스파고,Wells Fargo,은행
naver-pay,네이버페이,Naver Pay,핀테크앱
ab-inbev,AB인베브,Anheuser-Busch InBev,주류
hasselblad,핫셀블라드,Hasselblad,음향·카메라
lotus,로터스,Lotus Cars,럭셔리·슈퍼카
shinsung-tongsang,신성통상,Shinsung Tongsang,SPA·캐주얼
live-nation,라이브네이션,Live Nation Entertainment,엔터테인먼트·음반
klook,클룩,Klook,여행플랫폼
samsung-cnt-fashion,삼성물산 패션부문,Samsung C&T Fashion Group,컨템포러리
sega,세가,SEGA,게임사
low-classic,로우클래식,Low Classic,디자이너·스트리트
land-rover,랜드로버,Land Rover,완성차
sanofi,사노피,Sanofi,제약
diageo,디아지오,Diageo,주류
fidelity,피델리티,Fidelity Investments,자산운용
fenty-beauty,펜티 뷰티,Fenty Beauty,메이크업
lotte-world,롯데월드,Lotte World,크루즈·테마파크
